CodigoFaculdade;NomeFaculdade;CodigoCurso;NomeCurso;Grau;TotalDesempregados;TotalDiplomados
0110;Universidade dos Açores - Angra do Heroísmo;0198;Engenharia Agrícola;LICENCIATURA;4;35
0110;Universidade dos Açores - Angra do Heroísmo;0213;Engenharia do Ambiente;LICENCIATURA;7;115
0110;Universidade dos Açores - Angra do Heroísmo;0347;Engenharia Zootécnica;LICENCIATURA;4;118
0110;Universidade dos Açores - Angra do Heroísmo;1056;Agricultura Ecológica;LICENCIATURA;1;5
0110;Universidade dos Açores - Angra do Heroísmo;4452;Gestão e Conservação da Natureza;MESTRADO;1;29
0120;Universidade dos Açores - Horta;6669;Estudos Integrados dos Oceanos;MESTRADO;2;7
0130;Universidade dos Açores - Ponta Delgada;0048;Biologia;LICENCIATURA;8;175
0130;Universidade dos Açores - Ponta Delgada;0054;Biologia e Geologia (Ensino de);LICENCIATURA;2;121
0130;Universidade dos Açores - Ponta Delgada;0156;Economia;LICENCIATURA;1;80
0130;Universidade dos Açores - Ponta Delgada;0360;Filosofia;LICENCIATURA;2;59
0130;Universidade dos Açores - Ponta Delgada;0441;Gestão de Empresas;LICENCIATURA;1;150
0130;Universidade dos Açores - Ponta Delgada;0453;História;LICENCIATURA;1;97
0130;Universidade dos Açores - Ponta Delgada;0538;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;LICENCIATURA;1;69
0130;Universidade dos Açores - Ponta Delgada;0574;Matemática/Informática;LICENCIATURA;1;30
0130;Universidade dos Açores - Ponta Delgada;0633;Português e Inglês (Ensino de);LICENCIATURA;1;101
0130;Universidade dos Açores - Ponta Delgada;0671;Gestão/Informática;LICENCIATURA;1;47
0130;Universidade dos Açores - Ponta Delgada;0755;Serviço Social;LICENCIATURA;1;132
0130;Universidade dos Açores - Ponta Delgada;0759;Sociologia;LICENCIATURA;2;121
0130;Universidade dos Açores - Ponta Delgada;1044;Biologia Marinha;LICENCIATURA;6;32
0130;Universidade dos Açores - Ponta Delgada;1200;Estudos Europeus e Política Internacional;LICENCIATURA;1;24
