NomeFaculdade;CodigoFaculdade;NomeCurso;CodigoCurso;Grau;TotalDesempregados;TotalDiplomados
Universidade dos Açores - Angra do Heroísmo;0110;Engenharia do Ambiente;0213;L;4;92
Universidade dos Açores - Angra do Heroísmo;0110;Educação de Infância;0625;L;2;191
Universidade dos Açores - Angra do Heroísmo;0110;Tecnologia Agro-Alimentar;1783;L;1;31
Universidade dos Açores - Angra do Heroísmo;0110;Guias da Natureza;9382;L;2;76
Universidade dos Açores - Horta;0120;Estudos Integrados dos Oceanos;6669;M;1;9
Universidade dos Açores - Ponta Delgada;0130;Biologia;0048;L;5;148
Universidade dos Açores - Ponta Delgada;0130;Biologia e Geologia (Ensino de);0054;L;5;85
Universidade dos Açores - Ponta Delgada;0130;Filosofia;0360;L;1;53
Universidade dos Açores - Ponta Delgada;0130;Gestão de Empresas;0441;L;1;132
Universidade dos Açores - Ponta Delgada;0130;História;0453;L;1;84
Universidade dos Açores - Ponta Delgada;0130;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;0538;L;2;46
Universidade dos Açores - Ponta Delgada;0130;Matemática (Ensino de);0560;L;3;83
Universidade dos Açores - Ponta Delgada;0130;Ensino Básico - 1.º Ciclo;0707;L;1;199
Universidade dos Açores - Ponta Delgada;0130;Sociologia;0759;L;3;95
Universidade dos Açores - Ponta Delgada;0130;Biologia Marinha;1044;L;1;32
Universidade dos Açores - Ponta Delgada;0130;Estudos Europeus e Política Internacional;1200;L;1;24
Universidade dos Açores - Ponta Delgada;0130;Relações Públicas e Comunicação;1720;L;1;59
Universidade dos Açores - Ponta Delgada;0130;Ambiente, Saúde e Segurança;4382;M;1;10
Universidade dos Açores - Ponta Delgada;0130;Gestão e Conservação da Natureza;4452;M;1;22
Universidade dos Açores - Ponta Delgada;0130;Educação;5244;D;1;10
Universidade dos Açores - Ponta Delgada;0130;Biologia;9011;L;1;74
Universidade dos Açores - Ponta Delgada;0130;Gestão;9147;L;1;305
Universidade dos Açores - Ponta Delgada;0130;Serviço Social;9238;L;1;131
Universidade dos Açores - Ponta Delgada;0130;Turismo;9254;L;1;103
Universidade dos Açores - Ponta Delgada;0130;Comunicação Social e Cultura;9718;L;2;88
Universidade dos Açores - Ponta Delgada;0130;Estudos Europeus e Política Internacional;9756;L;1;79
Universidade dos Açores - Ponta Delgada;0130;Património Cultural;9787;L;1;56
Universidade dos Açores - Ponta Delgada;0130;Relações Públicas e Comunicação;9798;L;1;187
Universidade do Algarve;0200;Ciências Biomédicas;9351;L;8;61
Universidade do Algarve;0200;Ciências Biomédicas;9512;M;2;45
Universidade do Algarve;0200;Artes Visuais;9817;L;9;58
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Línguas e Literaturas Modernas, variante de Estudos Franceses e Espanhóis;0522;L;1;6
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Línguas e Literaturas Modernas, variante de Estudos Portugueses;0530;L;17;131
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Espanhóis;0534;L;2;17
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;0536;L;7;30
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;0538;L;15;117
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Psicologia;0695;L;42;302
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Património Cultural;0756;L;7;102
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Estudos Portugueses;0867;L;4;23
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Línguas e Literaturas Modernas, variante de Estudos Ingleses e Espanhóis;1529;L;3;12
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Educação Artística;4296;M;1;16
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Gestão Cultural;4471;M;1;4
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Literatura;4591;M;1;33
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Literatura Portuguesa;4624;M;1;7
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Psicologia;4756;M;4;69
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Observação e Análise da Relação Educativa;4763;M;1;68
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Comunicação, Cultura e Artes;6281;M;1;13
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Psicologia da Educação;6326;M;6;10
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Psicologia Clínica e da Saúde;6386;M;9;34
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Ciências da Educação e da Formação;6811;M;4;29
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Património Cultural (Artístico, Histórico e Arqueológico);8369;L;13;26
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Arqueologia (regime pós-laboral);8418;L;5;19
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Património Cultural e Arqueologia;8509;L;1;0
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Estudos Artísticos;9132;L;9;41
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Línguas, Literaturas e Culturas;9204;L;2;18
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Psicologia;9219;L;16;210
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Psicologia Social e das Organizações;9325;M;7;10
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Património Cultural;9787;L;5;18
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Artes Visuais;9817;L;15;44
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Ciências da Educação e da Formação;9821;L;32;129
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Ciências Documentais e Editoriais;9825;L;5;26
Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0201;Línguas e Comunicação;9834;L;10;40
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Biologia e Geologia (Ensino de);0054;L;13;85
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Biologia Marinha e Pescas;0057;L;9;161
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Engenharia do Ambiente;0213;L;16;184
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Oceanografia;0744;L;1;21
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Biologia e Geologia;1127;L;19;47
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Gestão e Conservação da Natureza;4452;M;2;29
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Ciências e Tecnologias do Ambiente;5185;D;1;10
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Biologia Marinha;9013;L;4;184
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Ciências do Mar;9041;L;1;15
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Engenharia do Ambiente;9099;L;3;30
