NomeFaculdade;CodigoFaculdade;NomeCurso;CodigoCurso;Grau;CNAEF_3D_Nome;A2006_Total;A2007_Total;A2008_Total;A2009_Total;A2010_Total;A2011_Total;A2012_Total;A2013_Total;A2014_Total;A2015_Total;TotalDesempregados;Dip_2005;Dip_2006;Dip_2007;Dip_2008;Dip_2009;Dip_2010;Dip_2011;Dip_2012;Dip_2013;Dip_2014;TotalDiplomados
Universidade dos Açores;0100;Engenharia Zootécnica;0347;L;Produção Agrícola e Animal;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0
Universidade dos Açores - Angra do Heroísmo;0110;Engenharia Agrícola;0198;L;Produção Agrícola e Animal;0;0;0;0;0;0;0;0;0;0;0;3;;2;;;;;;;;5
Universidade dos Açores - Angra do Heroísmo;0110;Engenharia do Ambiente;0213;L;Tecnologia de Protecção do Ambiente;0;1;0;0;0;0;0;0;0;0;1;23;10;11;4;;;;;;;48
Universidade dos Açores - Angra do Heroísmo;0110;Engenharia Zootécnica;0347;L;Produção Agrícola e Animal;0;0;0;0;0;0;0;0;0;0;0;22;10;7;8;;;;;;;47
Universidade dos Açores - Angra do Heroísmo;0110;Tecnologia Agro-Alimentar;1783;L;Indústrias Alimentares;0;0;0;0;0;0;0;0;0;0;0;9;6;6;5;1;;;;;;27
Universidade dos Açores - Angra do Heroísmo;0110;Gestão e Conservação da Natureza;4452;M;Ambientes Naturais e Vida Selvagem;0;0;0;2;0;0;0;0;0;0;2;;9;;;6;;;;;;15
Universidade dos Açores - Angra do Heroísmo;0110;Engenharia Zootécnica;9287;M;Produção Agrícola e Animal;0;0;0;0;2;0;0;0;0;0;2;;;;;;5;2;8;1;4;20
Universidade dos Açores - Angra do Heroísmo;0110;Guias da Natureza;9382;L1;Ambientes Naturais e Vida Selvagem;0;0;0;0;0;0;0;2;0;0;2;;;;;21;18;20;17;10;12;98
Universidade dos Açores - Horta;0120;Estudos Integrados dos Oceanos;6669;M;Ciências da Terra;0;0;0;0;2;0;0;0;0;0;2;;;;;;7;;2;7;6;22
Universidade dos Açores - Ponta Delgada;0130;Biologia;0048;L;Biologia e Bioquímica;0;0;0;0;0;0;0;0;0;0;0;33;16;7;10;;;;;;;66
Universidade dos Açores - Ponta Delgada;0130;Biologia e Geologia (Ensino de);0054;L;Formação de Professores de Áreas Disciplinares Específicas;1;0;0;0;0;0;0;0;0;0;1;9;11;2;1;;;;;;;23
Universidade dos Açores - Ponta Delgada;0130;Física e Química (Ensino de);0383;L;Formação de Professores de Áreas Disciplinares Específicas;0;0;0;0;0;0;0;0;0;0;0;21;17;14;6;3;;;;;;61
Universidade dos Açores - Ponta Delgada;0130;História;0453;L;História e Arqueologia;0;0;0;0;0;0;0;0;0;0;0;8;22;13;7;2;;;;;;52
