Código da instituição;Código do curso;Nome da instituição;Nome do curso;Grau académico;Vagas Iniciais;Estudantes colocados;Nota de candidatura do último colocado pelo contingente geral;Vagas sobrantes
0140;8031;Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente;Ciências Farmacêuticas (Preparatórios);PM;15;12;114,5;3
0140;8086;Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente;Medicina Veterinária (Preparatórios);PM;13;13;151,0;0
0140;9022;Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente;Ciências Agrárias;L1;20;6;;14
0140;L121;Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente;Natureza e Património;L1;30;13;125,1;17
0150;8082;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Arquitetura (Preparatórios);PM;20;3;136,5;17
0150;9181;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;História;L1;20;4;108,7;16
0150;9219;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Psicologia;L1;28;28;127,8;0
0150;9238;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Serviço Social;L1;30;30;115,5;0
0150;9240;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Sociologia;L1;26;19;109,8;7
0150;9798;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Relações Públicas e Comunicação;L1;40;40;113,7;0
0150;9853;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Educação Básica;L1;20;20;115,6;0
0150;L041;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Estudos Portugueses e Ingleses;L1;20;2;124,5;18
0150;L086;Universidade dos Açores - Faculdade de Ciências Sociais e Humanas;Estudos Euro-Atlânticos;L1;25;12;123,4;13
0160;8083;Universidade dos Açores - Faculdade de Ciências e Tecnologia;Ciclo Básico de Medicina;PM;38;38;177,5;0
0160;8524;Universidade dos Açores - Faculdade de Ciências e Tecnologia;Proteção Civil e Gestão de Riscos;L1;20;19;109,7;1
0160;9011;Universidade dos Açores - Faculdade de Ciências e Tecnologia;Biologia;L1;35;9;116,5;26
0160;9041;Universidade dos Açores - Faculdade de Ciências e Tecnologia;Ciências do Mar;L1;20;3;116,5;17
0160;9384;Universidade dos Açores - Faculdade de Ciências e Tecnologia;Informática - Redes e Multimédia;L1;35;12;122,4;23
0160;9864;Universidade dos Açores - Faculdade de Ciências e Tecnologia;"Ciênc de Engenharia-Eng Civil; Eng Mecânica; Eng Eletrot e de Comput (Pre)";PM;22;14;131,5;8
0170;9081;Universidade dos Açores - Faculdade de Economia e Gestão;Economia;L1;20;6;133,6;14
0170;9147;Universidade dos Açores - Faculdade de Economia e Gestão;Gestão;L1;56;55;106,8;1
0170;9254;Universidade dos Açores - Faculdade de Economia e Gestão;Turismo;L1;25;25;123,0;0
0200;9351;Universidade do Algarve;Ciências Biomédicas;L1;48;41;113,5;7
0201;8509;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;Património Cultural e Arqueologia;L1;25;9;106,0;16
0201;9204;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;Línguas, Literaturas e Culturas;L1;22;17;102,8;5
0201;9219;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;Psicologia;L1;60;62;137,9;0
0201;9817;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;Artes Visuais;L1;25;10;107,4;15
