CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;CodigoArea;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;TotalDesempregados;TotalDiplomados
0110;Universidade dos Açores - Angra do Heroísmo;0198;Engenharia Agrícola;LICENCIATURA;621;;;;5;2;1;8;205
0110;Universidade dos Açores - Angra do Heroísmo;0213;Engenharia do Ambiente;LICENCIATURA;851;;;;5;1;4;10;159
0110;Universidade dos Açores - Angra do Heroísmo;0347;Engenharia Zootécnica;LICENCIATURA;621;;;;2;4;1;7;313
0110;Universidade dos Açores - Angra do Heroísmo;1056;Agricultura Ecológica;LICENCIATURA;621;;;;1;;;1;5
0110;Universidade dos Açores - Angra do Heroísmo;4452;Gestão e Conservação da Natureza;MESTRADO;852;;;;;1;;1;29
0120;Universidade dos Açores - Horta;6669;Estudos Integrados dos Oceanos;MESTRADO;443;;;;1;;1;2;7
0130;Universidade dos Açores - Ponta Delgada;0048;Biologia;LICENCIATURA;421;1;;;7;;2;10;271
0130;Universidade dos Açores - Ponta Delgada;0054;Biologia e Geologia (Ensino de);LICENCIATURA;145;;;;1;;1;2;376
0130;Universidade dos Açores - Ponta Delgada;0156;Economia;LICENCIATURA;314;;;;1;;;1;80
0130;Universidade dos Açores - Ponta Delgada;0360;Filosofia;LICENCIATURA;226;;;1;1;;;2;76
0130;Universidade dos Açores - Ponta Delgada;0441;Gestão de Empresas;LICENCIATURA;345;;;;;;1;1;400
0130;Universidade dos Açores - Ponta Delgada;0453;História;LICENCIATURA;225;;;;;1;3;4;282
0130;Universidade dos Açores - Ponta Delgada;0536;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;LICENCIATURA;222;;;;1;;;1;36
0130;Universidade dos Açores - Ponta Delgada;0538;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;LICENCIATURA;222;;;;;;2;2;177
0130;Universidade dos Açores - Ponta Delgada;0574;Matemática/Informática;LICENCIATURA;461;;;;1;;;1;115
0130;Universidade dos Açores - Ponta Delgada;0630;Português e Francês (Ensino de);LICENCIATURA;145;;;;;;1;1;197
0130;Universidade dos Açores - Ponta Delgada;0633;Português e Inglês (Ensino de);LICENCIATURA;145;;;;;1;1;2;384
0130;Universidade dos Açores - Ponta Delgada;0671;Gestão/Informática;LICENCIATURA;345;;;;1;;;1;47
0130;Universidade dos Açores - Ponta Delgada;0755;Serviço Social;LICENCIATURA;762;;;;;1;;1;132
0130;Universidade dos Açores - Ponta Delgada;0759;Sociologia;LICENCIATURA;312;;;;;1;1;2;147
0130;Universidade dos Açores - Ponta Delgada;1044;Biologia Marinha;LICENCIATURA;421;1;;;4;;1;6;32
0130;Universidade dos Açores - Ponta Delgada;1200;Estudos Europeus e Política Internacional;LICENCIATURA;313;;;;1;;;1;24
0130;Universidade dos Açores - Ponta Delgada;1720;Relações Públicas e Comunicação;LICENCIATURA;342;;;;;1;;1;59
0130;Universidade dos Açores - Ponta Delgada;4382;Ambiente, Saúde e Segurança;MESTRADO;422;;;;1;;;1;10
0130;Universidade dos Açores - Ponta Delgada;4452;Gestão e Conservação da Natureza;MESTRADO;852;;;;1;;;1;22
0130;Universidade dos Açores - Ponta Delgada;5244;Educação;DOUTORAMENTO;142;;;;;;1;1;9
0130;Universidade dos Açores - Ponta Delgada;9011;Biologia;LICENCIATURA;421;1;;;;1;1;3;60
0130;Universidade dos Açores - Ponta Delgada;9147;Gestão;LICENCIATURA;345;;;;1;;;1;244
0130;Universidade dos Açores - Ponta Delgada;9238;Serviço Social;LICENCIATURA;762;1;1;;;;;2;97
0130;Universidade dos Açores - Ponta Delgada;9240;Sociologia;LICENCIATURA;312;;;;1;;;1;86
0130;Universidade dos Açores - Ponta Delgada;9384;Informática - Redes e Multimédia;LICENCIATURA;481;;;;1;;;1;55
0130;Universidade dos Açores - Ponta Delgada;9699;Ciências Biológicas e da Saúde;LICENCIATURA;421;;;;1;;;1;76
0130;Universidade dos Açores - Ponta Delgada;9704;Ciências da Engenharia Civil;LICENCIATURA;582;;;;1;;;1;10
0130;Universidade dos Açores - Ponta Delgada;9718;Comunicação Social e Cultura;LICENCIATURA;321;;;;;1;;1;73
0130;Universidade dos Açores - Ponta Delgada;9756;Estudos Europeus e Política Internacional;LICENCIATURA;313;;;;1;;;1;66
0130;Universidade dos Açores - Ponta Delgada;9787;Património Cultural;LICENCIATURA;225;;;;1;;;1;52
0200;Universidade do Algarve;0054;Biologia e Geologia (Ensino de);LICENCIATURA;145;;;;2;2;2;6;100
0200;Universidade do Algarve;0057;Biologia Marinha e Pescas;LICENCIATURA;421;;;;2;2;9;13;313
0200;Universidade do Algarve;0063;Bioquímica;LICENCIATURA;421;;;;1;;;1;25
0200;Universidade do Algarve;0156;Economia;LICENCIATURA;314;;;;4;1;4;9;263
0200;Universidade do Algarve;0205;Engenharia Agronómica;LICENCIATURA;621;;;;1;1;;2;20
0200;Universidade do Algarve;0213;Engenharia do Ambiente;LICENCIATURA;851;;;;2;1;3;6;54
0200;Universidade do Algarve;0219;Engenharia de Sistemas e Computação;LICENCIATURA;523;;;;;;1;1;30
0200;Universidade do Algarve;0226;Engenharia Biotecnológica;LICENCIATURA;524;;;;;1;;1;21
0200;Universidade do Algarve;0289;Engenharia Hortofrutícola;LICENCIATURA;621;;;;3;1;;4;104
0200;Universidade do Algarve;0441;Gestão de Empresas;LICENCIATURA;345;;;;5;3;7;15;482
0200;Universidade do Algarve;0487;Informática - Gestão;LICENCIATURA;481;;;;2;;;2;93
0200;Universidade do Algarve;0536;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;LICENCIATURA;222;;;;4;1;1;6;56
0200;Universidade do Algarve;0537;Línguas e Lit. Modernas, var de Estudos Portugueses e Franceses (ensino de);LICENCIATURA;145;;;;1;;;1;13
0200;Universidade do Algarve;0538;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;LICENCIATURA;222;;;;9;2;6;17;130
0200;Universidade do Algarve;0539;Línguas e Lit. Modernas, var. de Estudos Portugueses e Ingleses (ensino de);LICENCIATURA;145;;;;2;;1;3;32
0200;Universidade do Algarve;0559;Matemática;LICENCIATURA;461;;;;2;;;2;91
0200;Universidade do Algarve;0867;Estudos Portugueses;LICENCIATURA;223;;;;6;1;2;9;83
0200;Universidade do Algarve;0890;Engenharia Agronómica, ramo de Hortofruticultura;LICENCIATURA;621;;;;1;;1;2;17
0200;Universidade do Algarve;9351;Ciências Biomédicas;LICENCIATURA;421;4;1;;1;;;6;21
0200;Universidade do Algarve;9512;Ciências Biomédicas;MESTRADO;421;1;2;;1;;;4;27
0200;Universidade do Algarve;9817;Artes Visuais;LICENCIATURA;211;;;1;3;1;1;6;57
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0522;Línguas e Literaturas Modernas, variante de Estudos Franceses e Espanhóis;LICENCIATURA;222;;;;2;;1;3;6
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0524;Línguas e Literaturas Modernas, variante de Estudos Franceses e Ingleses;LICENCIATURA;222;;;;1;;;1;2
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0530;Línguas e Literaturas Modernas, variante de Estudos Portugueses;LICENCIATURA;223;;;;9;3;4;16;152
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0534;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Espanhóis;LICENCIATURA;222;;;;3;;1;4;17
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0536;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;LICENCIATURA;222;;;;8;2;3;13;74
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0538;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;LICENCIATURA;222;;;;12;6;4;22;180
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0695;Psicologia;LICENCIATURA;311;2;2;3;17;5;9;38;302
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0756;Património Cultural;LICENCIATURA;225;1;;;5;1;5;12;102
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0867;Estudos Portugueses;LICENCIATURA;223;;;;7;3;3;13;91
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;1529;Línguas e Literaturas Modernas, variante de Estudos Ingleses e Espanhóis;LICENCIATURA;222;;;;3;1;;4;12
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4296;Educação Artística;MESTRADO;142;;;;1;;;1;16
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4471;Gestão Cultural;MESTRADO;312;;;;1;;1;2;9
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4591;Literatura;MESTRADO;225;;;;2;;;2;33
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4624;Literatura Portuguesa;MESTRADO;223;;;;1;;;1;7
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4755;Psicologia da Educação;MESTRADO;142;;;;1;1;;2;42
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4756;Psicologia;MESTRADO;311;;;1;1;;;2;69
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4763;Observação e Análise da Relação Educativa;MESTRADO;142;;;;;1;;1;68
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;6386;Psicologia Clínica e da Saúde;MESTRADO;311;2;;;1;;;3;20
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;6811;Ciências da Educação e da Formação;MESTRADO;142;;;;;;1;1;18
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;8369;Património Cultural (Artístico, Histórico e Arqueológico);LICENCIATURA;225;3;;;;1;;4;15
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;8418;Arqueologia (regime pós-laboral);LICENCIATURA;225;3;1;;1;;;5;6
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9132;Estudos Artísticos;LICENCIATURA;212;3;;;4;;;7;34
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9204;Línguas, Literaturas e Culturas;LICENCIATURA;222;;;;1;;;1;3
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9219;Psicologia;LICENCIATURA;311;1;1;;6;;6;14;151
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9303;História da Arte;MESTRADO;211;;;;;1;;1;0
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9325;Psicologia Social e das Organizações;MESTRADO;311;;;;2;;;2;2
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9787;Património Cultural;LICENCIATURA;225;1;;;2;1;;4;18
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9817;Artes Visuais;LICENCIATURA;211;4;;;5;;;9;18
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9821;Ciências da Educação e da Formação;LICENCIATURA;142;7;2;1;15;1;1;27;104
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9825;Ciências Documentais e Editoriais;LICENCIATURA;322;1;2;1;2;;;6;26
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9834;Línguas e Comunicação;LICENCIATURA;222;;;;5;;;5;23
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0054;Biologia e Geologia (Ensino de);LICENCIATURA;145;;;;17;1;1;19;146
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0057;Biologia Marinha e Pescas;LICENCIATURA;421;;;;4;3;1;8;207
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0213;Engenharia do Ambiente;LICENCIATURA;851;;;;15;7;4;26;264
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0744;Oceanografia;LICENCIATURA;443;;;;2;1;;3;21
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;1127;Biologia e Geologia;LICENCIATURA;421;;;1;14;2;2;19;47
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;4452;Gestão e Conservação da Natureza;MESTRADO;852;;;;1;;1;2;29
