CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;CodigoArea;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;TotalDesempregados;TotalDiplomados
0110;Universidade dos Açores - Angra do Heroísmo;0198;Engenharia Agrícola;LICENCIATURA;621;;;;1;;2;3;205;
0110;Universidade dos Açores - Angra do Heroísmo;0213;Engenharia do Ambiente;LICENCIATURA;851;;;;2;;4;6;159;
0110;Universidade dos Açores - Angra do Heroísmo;0347;Engenharia Zootécnica;LICENCIATURA;621;;;;2;1;2;5;313;
0110;Universidade dos Açores - Angra do Heroísmo;0625;Educação de Infância;LICENCIATURA;143;;;;3;;;3;273;
0110;Universidade dos Açores - Angra do Heroísmo;1783;Tecnologia Agro-Alimentar;LICENCIATURA;541;;;;1;;;1;31;
0110;Universidade dos Açores - Angra do Heroísmo;9382;Guias da Natureza;LICENCIATURA;852;;;;2;;;2;76;
0120;Universidade dos Açores - Horta;6669;Estudos Integrados dos Oceanos;MESTRADO;443;1;;;;;;1;9;
0130;Universidade dos Açores - Ponta Delgada;0048;Biologia;LICENCIATURA;421;;;;2;2;2;6;271;
0130;Universidade dos Açores - Ponta Delgada;0054;Biologia e Geologia (Ensino de);LICENCIATURA;145;;;;5;;2;7;376;
0130;Universidade dos Açores - Ponta Delgada;0360;Filosofia;LICENCIATURA;226;;;;;;1;1;76;
0130;Universidade dos Açores - Ponta Delgada;0441;Gestão de Empresas;LICENCIATURA;345;;;;1;;;1;400;
0130;Universidade dos Açores - Ponta Delgada;0453;História;LICENCIATURA;225;;;;1;;;1;282;
0130;Universidade dos Açores - Ponta Delgada;0465;História e Filosofia (Ensino de);LICENCIATURA;145;;;;1;;;1;195;
0130;Universidade dos Açores - Ponta Delgada;0536;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;LICENCIATURA;222;;;;1;;;1;36;
0130;Universidade dos Açores - Ponta Delgada;0538;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;LICENCIATURA;222;;;;3;;;3;177;
0130;Universidade dos Açores - Ponta Delgada;0560;Matemática (Ensino de);LICENCIATURA;145;;;;3;1;;4;276;
0130;Universidade dos Açores - Ponta Delgada;0630;Português e Francês (Ensino de);LICENCIATURA;145;;;;;;1;1;197;
0130;Universidade dos Açores - Ponta Delgada;0633;Português e Inglês (Ensino de);LICENCIATURA;145;;;;;;1;1;384;
0130;Universidade dos Açores - Ponta Delgada;0707;Ensino Básico - 1.º Ciclo;LICENCIATURA;144;;;;;1;;1;301;
0130;Universidade dos Açores - Ponta Delgada;0759;Sociologia;LICENCIATURA;312;;;;;1;2;3;147;
0130;Universidade dos Açores - Ponta Delgada;1044;Biologia Marinha;LICENCIATURA;421;;;;;;1;1;32;
0130;Universidade dos Açores - Ponta Delgada;1200;Estudos Europeus e Política Internacional;LICENCIATURA;313;;;;;1;;1;24;
0130;Universidade dos Açores - Ponta Delgada;1720;Relações Públicas e Comunicação;LICENCIATURA;342;;;;1;;;1;59;
0130;Universidade dos Açores - Ponta Delgada;4382;Ambiente, Saúde e Segurança;MESTRADO;422;;;;1;;;1;10;
0130;Universidade dos Açores - Ponta Delgada;4452;Gestão e Conservação da Natureza;MESTRADO;852;;;;1;;;1;22;
0130;Universidade dos Açores - Ponta Delgada;5244;Educação;DOUTORAMENTO;142;;;;;;1;1;11;
0130;Universidade dos Açores - Ponta Delgada;9011;Biologia;LICENCIATURA;421;;;1;;;;1;74;
0130;Universidade dos Açores - Ponta Delgada;9147;Gestão;LICENCIATURA;345;;;;;;1;1;305;
