UO;UO_Nome;Curso;Curso_Nome;Grupo_Grau;Grupo_Grau_Nome;CNAEF_1D;CNAEF_1D_Nome;CNAEF_2D;CNAEF_2D_Nome;CNAEF_3D;CNAEF_3D_Nome;A1984_2004_TD_PE_6M;A2005_TD_PE_6M;A2006_TD_PE_6M;A2007_TD_PE_6M;A2008_TD_PE_6M;A2009_TD_PE_6M;A2010_TD_PE_6M;A2011_TD_PE_6M;A2012_TD_PE_6M;A2013_TD_PE_6M;A2014_TD_PE_6M;A1984_2004_TD_PE_6_12M;A2005_TD_PE_6_12M;A2006_TD_PE_6_12M;A2007_TD_PE_6_12M;A2008_TD_PE_6_12M;A2009_TD_PE_6_12M;A2010_TD_PE_6_12M;A2011_TD_PE_6_12M;A2012_TD_PE_6_12M;A2013_TD_PE_6_12M;A2014_TD_PE_6_12M;A1984_2004_TD_PE_12M;A2005_TD_PE_12M;A2006_TD_PE_12M;A2007_TD_PE_12M;A2008_TD_PE_12M;A2009_TD_PE_12M;A2010_TD_PE_12M;A2011_TD_PE_12M;A2012_TD_PE_12M;A2013_TD_PE_12M;A2014_TD_PE_12M;A1984_2004_TD_NE_6M;A2005_TD_NE_6M;A2006_TD_NE_6M;A2007_TD_NE_6M;A2008_TD_NE_6M;A2009_TD_NE_6M;A2010_TD_NE_6M;A2011_TD_NE_6M;A2012_TD_NE_6M;A2013_TD_NE_6M;A2014_TD_NE_6M;A1984_2004_TD_NE_6_12M;A2005_TD_NE_6_12M;A2006_TD_NE_6_12M;A2007_TD_NE_6_12M;A2008_TD_NE_6_12M;A2009_TD_NE_6_12M;A2010_TD_NE_6_12M;A2011_TD_NE_6_12M;A2012_TD_NE_6_12M;A2013_TD_NE_6_12M;A2014_TD_NE_6_12M;A1984_2004_TD_NE_12M;A2005_TD_NE_12M;A2006_TD_NE_12M;A2007_TD_NE_12M;A2008_TD_NE_12M;A2009_TD_NE_12M;A2010_TD_NE_12M;A2011_TD_NE_12M;A2012_TD_NE_12M;A2013_TD_NE_12M;A2014_TD_NE_12M;Dip_1984_2004;Dip_2005;Dip_2006;Dip_2007;Dip_2008;Dip_2009;Dip_2010;Dip_2011;Dip_2012;Dip_2013;A1984_2004_Total;A2005_Total;A2006_Total;A2007_Total;A2008_Total;A2009_Total;A2010_Total;A2011_Total;A2012_Total;A2013_Total;A2014_Total;A1984_2014_TOTAL
0110;Universidade dos Açores - Angra do Heroísmo;0198;Engenharia Agrícola;L;Licenciatura;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;200;3;;2;;;;;;;1;0;0;0;0;0;0;0;0;0;0;1
0110;Universidade dos Açores - Angra do Heroísmo;0213;Engenharia do Ambiente;L;Licenciatura;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111;23;10;11;4;;;;;;1;0;0;0;0;0;0;0;0;0;0;1
0110;Universidade dos Açores - Angra do Heroísmo;0347;Engenharia Zootécnica;L;Licenciatura;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;266;22;10;7;8;;;;;;3;0;0;0;0;0;0;0;0;0;0;3
0110;Universidade dos Açores - Angra do Heroísmo;9287;Engenharia Zootécnica;M;Mestrado;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;8;1;0;0;0;0;0;0;1;0;0;0;0;1
0110;Universidade dos Açores - Angra do Heroísmo;9934;Energias Renováveis;L1;Licenciatura 1.º Ciclo;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;522;Electricidade e Energia;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;12;14;0;0;0;0;0;0;0;0;0;1;2;3
0120;Universidade dos Açores - Horta;6669;Estudos Integrados dos Oceanos;M;Mestrado;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;7;;2;7;0;0;0;0;0;0;2;0;0;2;0;4
0130;Universidade dos Açores - Ponta Delgada;0048;Biologia;L;Licenciatura;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;205;33;16;7;10;;;;;;4;2;0;0;0;0;0;0;0;0;0;6
0130;Universidade dos Açores - Ponta Delgada;0054;Biologia e Geologia (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;353;9;11;2;1;;;;;;5;0;0;0;0;0;0;0;0;0;0;5
0130;Universidade dos Açores - Ponta Delgada;0360;Filosofia;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;226;Filosofia e Ética;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;9;8;5;2;;;;;;2;0;0;1;0;0;0;0;0;0;0;3
0130;Universidade dos Açores - Ponta Delgada;0383;Física e Química (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;21;17;14;6;3;;;;;0;1;0;0;0;0;0;0;0;0;0;1
