UO;UO_Nome;Curso;Curso_Nome;Grupo_Grau;Grupo_Grau_Nome;CNAEF_1D;CNAEF_1D_Nome;CNAEF_2D;CNAEF_2D_Nome;CNAEF_3D;CNAEF_3D_Nome;A1984_2004_TD_PE_6M;A2005_TD_PE_6M;A2006_TD_PE_6M;A2007_TD_PE_6M;A2008_TD_PE_6M;A2009_TD_PE_6M;A2010_TD_PE_6M;A2011_TD_PE_6M;A2012_TD_PE_6M;A2013_TD_PE_6M;A2014_TD_PE_6M;A2015_TD_PE_6M;A1984_2004_TD_PE_6_12M;A2005_TD_PE_6_12M;A2006_TD_PE_6_12M;A2007_TD_PE_6_12M;A2008_TD_PE_6_12M;A2009_TD_PE_6_12M;A2010_TD_PE_6_12M;A2011_TD_PE_6_12M;A2012_TD_PE_6_12M;A2013_TD_PE_6_12M;A2014_TD_PE_6_12M;A2015_TD_PE_6_12M;A1984_2004_TD_PE_12M;A2005_TD_PE_12M;A2006_TD_PE_12M;A2007_TD_PE_12M;A2008_TD_PE_12M;A2009_TD_PE_12M;A2010_TD_PE_12M;A2011_TD_PE_12M;A2012_TD_PE_12M;A2013_TD_PE_12M;A2014_TD_PE_12M;A2015_TD_PE_12M;A1984_2004_TD_NE_6M;A2005_TD_NE_6M;A2006_TD_NE_6M;A2007_TD_NE_6M;A2008_TD_NE_6M;A2009_TD_NE_6M;A2010_TD_NE_6M;A2011_TD_NE_6M;A2012_TD_NE_6M;A2013_TD_NE_6M;A2014_TD_NE_6M;A2015_TD_NE_6M;A1984_2004_TD_NE_6_12M;A2005_TD_NE_6_12M;A2006_TD_NE_6_12M;A2007_TD_NE_6_12M;A2008_TD_NE_6_12M;A2009_TD_NE_6_12M;A2010_TD_NE_6_12M;A2011_TD_NE_6_12M;A2012_TD_NE_6_12M;A2013_TD_NE_6_12M;A2014_TD_NE_6_12M;A2015_TD_NE_6_12M;A1984_2004_TD_NE_12M;A2005_TD_NE_12M;A2006_TD_NE_12M;A2007_TD_NE_12M;A2008_TD_NE_12M;A2009_TD_NE_12M;A2010_TD_NE_12M;A2011_TD_NE_12M;A2012_TD_NE_12M;A2013_TD_NE_12M;A2014_TD_NE_12M;A2015_TD_NE_12M;Dip_1984_2004;Dip_2005;Dip_2006;Dip_2007;Dip_2008;Dip_2009;Dip_2010;Dip_2011;Dip_2012;Dip_2013;Dip_2014;A1984_2004_Total;A2005_Total;A2006_Total;A2007_Total;A2008_Total;A2009_Total;A2010_Total;A2011_Total;A2012_Total;A2013_Total;A2014_Total;A2015_Total;A1984_2015_TOTAL
0100;Universidade dos Açores;0347;Engenharia Zootécnica;L;Licenciatura;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;2
0110;Universidade dos Açores - Angra do Heroísmo;0198;Engenharia Agrícola;L;Licenciatura;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;200;3;;2;;;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;2
0110;Universidade dos Açores - Angra do Heroísmo;0213;Engenharia do Ambiente;L;Licenciatura;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111;23;10;11;4;;;;;;;1;0;0;1;0;0;0;0;0;0;0;0;2
0110;Universidade dos Açores - Angra do Heroísmo;0347;Engenharia Zootécnica;L;Licenciatura;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;266;22;10;7;8;;;;;;;5;0;0;0;0;0;0;0;0;0;0;0;5
0110;Universidade dos Açores - Angra do Heroísmo;1783;Tecnologia Agro-Alimentar;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;540;Indústrias Transformadoras;541;Indústrias Alimentares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;4;9;6;6;5;1;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1
0110;Universidade dos Açores - Angra do Heroísmo;4452;Gestão e Conservação da Natureza;M;Mestrado;800;Serviços;850;Protecção do Ambiente;852;Ambientes Naturais e Vida Selvagem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;9;;;6;;;;;;0;0;0;0;0;2;0;0;0;0;0;0;2
0110;Universidade dos Açores - Angra do Heroísmo;9287;Engenharia Zootécnica;M;Mestrado;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;8;1;4;0;0;0;0;0;0;2;0;0;0;0;0;2
0110;Universidade dos Açores - Angra do Heroísmo;9382;Guias da Natureza;L1;Licenciatura 1.º Ciclo;800;Serviços;850;Protecção do Ambiente;852;Ambientes Naturais e Vida Selvagem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;21;18;20;17;10;12;0;0;0;0;0;0;0;0;0;2;0;0;2
0120;Universidade dos Açores - Horta;6669;Estudos Integrados dos Oceanos;M;Mestrado;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;7;;2;7;6;0;0;0;0;0;0;2;0;0;0;0;0;2
0130;Universidade dos Açores - Ponta Delgada;0048;Biologia;L;Licenciatura;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;205;33;16;7;10;;;;;;;3;1;0;0;0;0;0;0;0;0;0;0;4
0130;Universidade dos Açores - Ponta Delgada;0054;Biologia e Geologia (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;353;9;11;2;1;;;;;;;3;0;1;0;0;0;0;0;0;0;0;0;4
0130;Universidade dos Açores - Ponta Delgada;0383;Física e Química (Ensino de);L;Licenciatura;100;Educação;440;Ciências Físicas;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;43;21;17;14;6;3;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;0453;História;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;230;8;22;13;7;2;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;2
0130;Universidade dos Açores - Ponta Delgada;0462;História e Ciências Sociais (ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;229;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;0536;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;3;1;1;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;0538;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;151;11;12;2;1;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;0560;Matemática (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;233;17;14;7;;5;;;;;;2;1;0;0;0;0;0;0;0;0;0;0;3
0130;Universidade dos Açores - Ponta Delgada;0630;Português e Francês (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;181;9;3;3;1;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;0755;Serviço Social;L;Licenciatura;700;Saúde e Protecção Social;760;Serviços Sociais;762;Trabalho Social e Orientação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;24;27;32;27;22;;;;;;;0;0;0;1;1;0;0;0;0;0;0;0;2
0130;Universidade dos Açores - Ponta Delgada;0759;Sociologia;L;Licenciatura;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;312;Sociologia e Outros Estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;8;14;31;20;1;;;;;;0;0;0;0;1;0;0;0;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;0867;Estudos Portugueses;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;223;Língua e Literatura Materna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;2;1;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;4435;Gestão Estratégica e Desenvolvimento do Turismo;M;Mestrado;800;Serviços;810;Serviços Pessoais;812;Turismo e Lazer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;2;;;;;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;4712;Ordenamento do Território e Planeamento Ambiental;M;Mestrado;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;9;;;;;0;0;0;1;0;0;0;0;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;5050;Biologia;D;Doutoramento;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;6;;3;1;;3;6;4;6;8;;1;0;1;0;0;0;0;0;0;0;0;0;2
