CodigoFaculdade;CodigoCurso;Nota
140;8031;114,5
140;8086;151
140;9022;
140;L121;125,1
150;8082;136,5
150;9181;108,7
150;9219;127,8
150;9238;115,5
150;9240;109,8
150;9798;113,7
150;9853;115,6
150;L041;124,5
150;L086;123,4
160;8083;177,5
160;8524;109,7
160;9011;116,5
160;9041;116,5
160;9384;122,4
160;9864;131,5
170;9081;133,6
170;9147;106,8
170;9254;123
200;9351;113,5
201;8509;106
201;9204;102,8
201;9219;137,9
201;9817;107,4
201;9821;101,5
201;9834;107,2
203;8258;96
203;9003;118
203;9011;105,3
203;9013;119,5
203;9015;111
203;9016;103
203;9119;115,6
203;9494;128,5
203;L123;111,7
204;9081;122
204;9152;124
204;9240;111,9
300;9002;131,8
300;9011;135
300;9012;116,6
300;9015;145
300;9016;150,6
300;9041;125,5
300;9069;160,8
300;9081;154
300;9104;147,8
300;9119;155,4
300;9146;107,8
300;9147;158
300;9194;139,8
300;9196;146,2
300;9204;132
300;9209;129,4
300;9212;118,5
300;9214;143,7
300;9215;131,8
300;9219;144
300;9252;138,6
300;9254;148
300;9351;161,8
300;9359;166,5
300;9360;115,4
300;9361;138,6
300;9363;127,6
300;9365;128
300;9368;132,8
300;9369;146,5
300;9461;122,4
300;9508;109,4
300;9853;130,5
300;G009;115,3
300;L094;103,4
400;8470;163,5
400;9015;123,9
400;9016;117,9
400;9020;140,6
400;9023;132,9
400;9025;109,2
400;9048;131,7
400;9071;127,9
400;9074;116,2
400;9075;129,6
400;9081;129,9
400;9105;110,4
400;9112;113,5
400;9119;119,1
400;9147;137,8
400;9205;108,4
400;9216;110,9
400;9219;142,3
400;9225;115,6
400;9240;114,5
400;9257;105
400;9351;139,8
400;9360;
400;9494;145,1
400;9540;115,6
400;9707;115,3
400;9813;177,7
400;9918;106,1
400;L042;108,7
501;8408;123,5
501;9011;125,5
501;9015;146
501;9104;145,8
501;9119;145
501;9141;129,5
501;9146;100
501;9209;126,5
501;9223;110,5
501;9257;134
501;9359;171,5
501;9360;112,8
501;9367;115,3
501;9368;137,8
501;9369;135,8
501;9448;107,5
501;9461;122,5
501;9508;111,3
501;9891;151
502;8067;148,5
502;9078;145,5
503;9081;145
503;9147;155
503;9229;156,5
503;9240;128,5
504;9494;147,8
504;9819;125,3
504;9832;131,3
505;8393;105
505;9006;117,5
505;9132;137
505;9133;113
505;9135;140,5
505;9139;116,5
505;9143;100
505;9181;107
505;9182;105
505;9694;129,4
505;9773;150
505;9779;137
505;L109;139,5
506;9548;175
506;9813;179,8
507;9026;125,5
507;9238;134
507;9555;153,6
508;8368;116,6
508;9707;126
602;8258;117,8
602;8262;131,1
602;9003;95
602;9011;104,8
602;9015;112,8
602;9016;107,8
602;9119;121,7
602;9143;98
602;9146;120,8
602;9210;113
602;9223;122,1
602;9707;122,1
602;9751;121,1
602;9818;108,8
602;9841;106,1
602;9847;156
602;9910;148,2
602;L090;128,4
603;9069;135
603;9243;126,6
603;9257;114,3
603;9684;126,6
604;8251;114,8
604;9026;100,3
604;9081;120,8
604;9147;128,7
604;9219;140,5
604;9229;129,3
604;9240;122,3
604;9254;134,1
604;9853;105
604;L047;115,9
901;9813;179,2
902;8109;115,5
902;9006;115
902;9020;166,5
902;9023;167,5
902;9040;123,5
902;9046;120
902;9139;123
902;9145;127
902;9181;137,5
902;9182;111,5
902;9204;149,5
902;9240;135,5
902;9252;153,5
902;9448;115
902;9917;117,5
903;8036;132,8
903;8334;145,2
903;9015;146,4
903;9116;106,6
903;9209;149,2
903;9224;135,6
903;9348;158,6
903;9359;171,4
903;9360;112,6
903;9363;144
