CodigoFaculdade;CodigoCurso;CNAEF_1D;CNAEF_1D_Nome;CNAEF_2D;CNAEF_2D_Nome;CNAEF_3D;CNAEF_3D_Nome
0100;0347;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal
0110;0198;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal
0110;0213;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente
0110;0347;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal
0110;1783;500;Engenharia, Indústrias Transformadoras e Construção;540;Indústrias Transformadoras;541;Indústrias Alimentares
0110;4452;800;Serviços;850;Protecção do Ambiente;852;Ambientes Naturais e Vida Selvagem
0110;9287;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal
0110;9382;800;Serviços;850;Protecção do Ambiente;852;Ambientes Naturais e Vida Selvagem
0120;6669;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra
0130;0048;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica
0130;0054;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0130;0383;100;Educação;440;Ciências Físicas;145;Formação de Professores de Áreas Disciplinares Específicas
0130;0453;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia
0130;0462;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0130;0536;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0130;0538;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras
0130;0560;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0130;0630;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas
0130;0755;700;Saúde e Protecção Social;760;Serviços Sociais;762;Trabalho Social e Orientação
